#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
125,Réunion,"6,264",+227,27,+1,"5,380",+496,857,14,"6,979",30,"35,419","39,462","897,538",Africa,143,"33,242",25
126,Syria,"6,102",+62,309,+4,"2,254",+59,"3,539",,346,18,,,"17,645,608",Asia,"2,892","57,106",
127,Eswatini,"5,976",+9,117,,"5,704",+10,155,9,"5,133",100,"54,637","46,926","1,164,333",Africa,195,"9,952",21
128,Malawi,"5,942",+2,184,,"5,346",+8,412,4,308,10,"65,355","3,387","19,298,150",Africa,"3,248","104,881",295
129,Trinidad and Tobago,"5,798",+24,111,,"5,084",+60,603,14,"4,138",79,"33,861","24,168","1,401,074",North America,242,"12,622",41
130,Estonia,"5,705",+241,73,,"4,103",+71,"1,529",2,"4,300",55,"273,669","206,255","1,326,848",Europe,233,"18,176",5
131,Djibouti,"5,604",+5,61,,"5,481",+2,62,,"5,644",61,"86,455","87,068","992,960",Africa,177,"16,278",11
132,Nicaragua,"5,591",,157,,"4,225",,"1,209",,841,24,,,"6,651,854",North America,"1,190","42,368",
133,Cyprus,"5,557",+224,27,,"1,882",,"3,648",7,"4,591",22,"498,638","411,955","1,210,420",Asia,218,"44,830",2
134,Hong Kong,"5,362",+6,107,,"5,131",+5,124,8,713,14,"3,707,664","493,162","7,518,145",Asia,"1,402","70,263",2
135,Congo,"5,348",,92,,"3,887",,"1,369",,961,17,,,"5,564,376",Africa,"1,040","60,482",
136,Suriname,"5,225",,112,,"5,097",,16,6,"8,879",190,"19,423","33,007","588,459",South America,113,"5,254",30
137,Rwanda,"5,208",+16,36,,"4,953",+13,219,,399,3,"566,009","43,334","13,061,616",Africa,"2,508","362,823",23
138,Andorra,"5,135",,75,,"3,858",,"1,202",22,"66,423",970,"146,308","1,892,534","77,308",Europe,15,"1,031",1
139,Equatorial Guinea,"5,092",,85,,"4,968",,39,2,"3,590",60,"66,600","46,950","1,418,521",Africa,279,"16,688",21
140,Iceland,"5,039",+22,18,,"4,286",+49,735,4,"14,733",53,"363,854","1,063,854","342,015",Europe,68,"19,001",1
141,CAR,"4,866",,62,,"1,924",,"2,880",2,"1,002",13,"32,711","6,733","4,858,655",Africa,998,"78,365",149
142,Aruba,"4,578",+14,39,,"4,367",+15,172,4,"42,815",365,"41,437","387,537","106,924",North America,23,"2,742",3
143,Mayotte,"4,550",,45,,"2,964",,"1,541",6,"16,542",164,"15,781","57,373","275,060",Africa,60,"6,112",17
144,Guyana,"4,457",+64,133,+3,"3,467",+58,857,11,"5,657",169,"21,372","27,126","787,878",South America,177,"5,924",37
145,Somalia,"4,229",,107,,"3,247",,875,,264,7,,,"16,043,682",Africa,"3,794","149,941",
146,Martinique,"4,215",,33,,98,,"4,084",16,"11,235",88,"54,161","144,367","375,163",North America,89,"11,369",7
147,Belize,"3,977",+72,66,+2,"2,323",+30,"1,588",2,"9,940",165,"24,418","61,028","400,109",North America,101,"6,062",16
148,Thailand,"3,818",+8,60,+1,"3,639",+16,119,1,55,0.9,"977,854","13,997","69,861,320",Asia,"18,298","1,164,355",71
149,Gambia,"3,684",+3,121,+1,"3,527",+9,36,,"1,510",50,"21,708","8,898","2,439,700",Africa,662,"20,163",112
150,Mali,"3,657",+24,137,,"2,817",+10,703,,179,7,"79,483","3,887","20,448,517",Africa,"5,592","149,259",257
151,Uruguay,"3,370",+61,61,,"2,853",+39,456,6,969,18,"337,189","96,951","3,477,942",South America,"1,032","57,015",10
152,South Sudan,"2,943",,59,,"1,290",,"1,594",,262,5,"12,044","1,072","11,239,191",Africa,"3,819","190,495",933
153,Benin,"2,745",,43,,"2,466",,236,,224,4,"259,047","21,179","12,231,195",Africa,"4,456","284,446",47
154,Burkina Faso,"2,562",+12,67,,"2,366",+19,129,,121,3,,,"21,097,894",Africa,"8,235","314,894",
155,Togo,"2,460",+18,57,,"1,720",+12,683,,295,7,"125,867","15,083","8,344,954",Africa,"3,392","146,403",66
156,Guinea-Bissau,"2,414",,42,,"1,862",,510,5,"1,217",21,,,"1,983,874",Africa,822,"47,235",
157,Sierra Leone,"2,373",+2,74,,"1,807",+2,492,,295,9,,,"8,032,578",Africa,"3,385","108,548",
158,Yemen,"2,067",+4,602,+1,"1,375",,90,,69,20,"16,658",554,"30,050,601",Asia,"14,538","49,918","1,804"
159,New Zealand,"1,974",+1,25,,"1,905",+24,44,,395,5,"1,126,986","225,303","5,002,100",Australia/Oceania,"2,534","200,084",4
160,Lesotho,"1,967",+4,44,,"1,024",+36,899,,916,20,"23,241","10,819","2,148,159",Africa,"1,092","48,822",92
161,Chad,"1,538",+9,99,,"1,362",+8,77,,93,6,,,"16,585,631",Africa,"10,784","167,532",
162,Liberia,"1,442",+2,82,,"1,310",+5,50,2,283,16,"30,332","5,949","5,098,254",Africa,"3,536","62,174",168
163,Niger,"1,230",+4,69,,"1,143",+1,18,9,50,3,"37,896","1,547","24,500,627",Africa,"19,919","355,082",647
164,Vietnam,"1,212",+5,35,,"1,070",+1,107,,12,0.4,"1,246,480","12,766","97,643,004",Asia,"80,564","2,789,800",78
165,Curaçao,"1,053",+23,2,,783,+15,268,7,"6,408",12,"13,978","85,062","164,328",North America,156,"82,164",12
166,San Marino,"1,043",,42,,754,,247,2,"30,716","1,237","11,257","331,517","33,956",Europe,33,808,3
167,Sao Tome and Principe,960,+2,16,,910,+1,34,,"4,353",73,"6,484","29,398","220,557",Africa,230,"13,785",34
168,Channel Islands,921,+16,48,,751,,122,10,"5,280",275,"165,849","950,860","174,420",Europe,189,"3,634",1
169,Sint Maarten,877,,23,,780,,74,6,"20,374",534,"6,921","160,785","43,045",North America,49,"1,872",6
170,Gibraltar,770,+16,,,673,+18,97,1,"22,857",,"70,708","2,098,970","33,687",Europe,44,,0
171,Liechtenstein,741,+49,3,,481,+27,257,15,"19,415",79,"9,155","239,873","38,166",Europe,52,"12,722",4
172,Diamond Princess,712,,13,,659,,40,4,,,,,,,,,
173,Turks and Caicos,705,,6,,691,,8,1,"18,124",154,"4,846","124,582","38,898",North America,55,"6,483",8
174,Burundi,606,,1,,511,,94,,50,0.08,"49,642","4,133","12,010,650",Africa,"19,820","12,010,650",242
175,Saint Martin,604,,12,,522,,70,4,"15,530",309,"6,373","163,860","38,893",North America,64,"3,241",6
176,Papua New Guinea,597,,7,,580,,10,,66,0.8,"29,466","3,272","9,005,212",Australia/Oceania,"15,084","1,286,459",306
177,Taiwan,573,+4,7,,523,,43,,24,0.3,"103,389","4,338","23,831,884",Asia,"41,591","3,404,555",231
178,Comoros,557,,7,,525,,25,,636,8,,,"875,942",Africa,"1,573","125,135",
179,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,311,107",Africa,"118,489","2,871,957",
180,Faeroe Islands,495,,,,492,+2,3,,"10,117",,"156,744","3,203,564","48,928",Europe,99,,0
181,Eritrea,484,,,,429,,55,,136,,,,"3,563,382",Africa,"7,362",,
182,Monaco,454,+24,2,,331,+13,121,5,"11,541",51,"51,953","1,320,649","39,339",Europe,87,"19,670",1
183,Mauritius,453,,10,,416,,27,,356,8,"278,091","218,538","1,272,508",Africa,"2,809","127,251",5
184,Bhutan,358,,,,333,+4,25,,462,,"178,699","230,712","774,554",Asia,"2,164",,4
185,Isle of Man,357,,24,,326,+2,7,,"4,191",282,"16,578","194,600","85,190",Europe,239,"3,550",5
186,Mongolia,356,+3,,,314,,42,1,108,,"92,274","27,992","3,296,481",Asia,"9,260",,36
187,Cambodia,292,,,,286,+3,6,,17,,"191,564","11,403","16,798,918",Asia,"57,531",,88
188,Cayman Islands,245,+1,1,,233,,11,1,"3,713",15,"48,053","728,197","65,989",North America,269,"65,989",1
189,Barbados,242,+3,7,,228,+4,7,,842,24,"38,521","133,987","287,498",North America,"1,188","41,071",7
190,Bermuda,207,,9,,179,,19,,"3,328",145,"89,904","1,445,472","62,197",North America,300,"6,911",1
191,Seychelles,158,+1,,,155,+4,3,,"1,603",,"5,200","52,760","98,559",Africa,624,,19
