#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
75,Sudan,"2,289",+325,97,+6,222,"1,970",,52,2,,,"43,710,745",Africa
76,Bosnia and Herzegovina,"2,267",+31,129,+1,"1,355",783,4,690,39,"48,528","14,780","3,283,253",Europe
77,Croatia,"2,224",+2,95,,"1,913",216,9,541,23,"52,425","12,761","4,108,287",Europe
78,Bulgaria,"2,175",+37,105,+3,573,"1,497",45,313,15,"64,480","9,271","6,954,648",Europe
79,Ivory Coast,"2,061",+44,25,+1,987,"1,049",,78,1.0,"15,260",580,"26,289,372",Africa
80,Cuba,"1,862",+22,79,,"1,460",323,7,164,7,"79,834","7,048","11,327,461",North America
81,Iceland,"1,802",,10,,"1,786",6,,"5,285",29,"56,742","166,416","340,964",Europe
82,Estonia,"1,770",+4,63,,934,773,5,"1,334",47,"68,840","51,899","1,326,425",Europe
83,North Macedonia,"1,762",+22,98,+1,"1,267",397,21,846,47,"21,010","10,085","2,083,384",Europe
84,Guatemala,"1,643",+125,30,+1,135,"1,478",5,92,2,"7,200",403,"17,871,637",North America
85,Lithuania,"1,534",+11,55,+1,988,491,17,563,20,"224,040","82,166","2,726,669",Europe
86,New Zealand,"1,498",,21,,"1,428",49,,311,4,"223,937","46,486","4,817,264",Australia/Oceania
87,Slovakia,"1,493",+13,28,+1,"1,151",314,3,273,5,"139,986","25,642","5,459,317",Europe
88,Slovenia,"1,465",,103,,272,"1,090",6,705,50,"68,852","33,119","2,078,903",Europe
89,DRC,"1,370",+72,61,+11,229,"1,080",,15,0.7,,,"89,181,925",Africa
90,Somalia,"1,357",+73,55,+2,148,"1,154",2,86,3,,,"15,832,072",Africa
91,Djibouti,"1,331",+22,4,,950,377,,"1,350",4,"17,106","17,347","986,127",Africa
92,Tajikistan,"1,322",+204,36,+3,,"1,286",,139,4,,,"9,508,770",Asia
93,Gabon,"1,320",+111,11,+1,244,"1,065",11,595,5,"7,050","3,178","2,218,621",Africa
94,Mayotte,"1,312",+102,18,+2,627,667,9,"4,825",66,"5,200","19,123","271,922",Africa
95,El Salvador,"1,265",+55,26,+3,441,798,18,195,4,"53,412","8,240","6,482,107",North America
96,Kyrgyzstan,"1,117",+6,14,,783,320,5,172,2,"59,490","9,138","6,510,046",Asia
97,Maldives,"1,078",+47,4,,58,"1,016",9,"1,999",7,"11,775","21,834","539,287",Asia
98,Hong Kong,"1,053",,4,,"1,022",27,1,141,0.5,"168,291","22,471","7,489,265",Asia
99,Tunisia,"1,035",,45,,802,188,3,88,4,"37,862","3,208","11,802,774",Africa
100,Latvia,997,+27,19,,662,316,3,528,10,"87,377","46,265","1,888,633",Europe
101,Guinea-Bissau,969,+56,4,+1,26,939,,494,2,"1,500",765,"1,961,700",Africa
102,Sri Lanka,957,+22,9,,520,428,1,45,0.4,"42,056","1,965","21,402,049",Asia
103,Albania,933,+17,31,,714,188,1,324,11,"11,764","4,087","2,878,180",Europe
104,Cyprus,914,+4,17,,515,382,10,758,14,"85,301","70,716","1,206,248",Asia
105,Lebanon,902,+11,26,,247,629,4,132,4,"59,588","8,726","6,829,118",Asia
106,Niger,889,+4,51,,689,149,,37,2,"5,816",242,"24,081,508",Africa
107,Costa Rica,853,+10,10,+1,551,292,4,168,2,"19,401","3,813","5,088,192",North America
108,Mali,835,+29,48,+2,479,308,,41,2,"3,264",162,"20,170,087",Africa
109,Kenya,830,+49,50,+5,301,479,1,15,0.9,"36,918",689,"53,611,938",Africa
110,Burkina Faso,782,+2,51,,604,127,,38,2,,,"20,824,384",Africa
111,Paraguay,778,+19,11,,198,569,,109,2,"19,308","2,711","7,121,225",South America
112,Andorra,761,,51,+2,615,95,3,"9,851",660,"3,750","48,544","77,250",Europe
113,Uruguay,733,+1,19,,558,156,5,211,5,"33,036","9,514","3,472,233",South America
114,Diamond Princess,712,,13,,651,48,4,,,,,,
115,Georgia,683,+12,12,,419,252,6,171,3,"36,248","9,084","3,990,097",Asia
116,Zambia,679,+25,7,,183,489,1,37,0.4,"15,811",863,"18,312,920",Africa
117,San Marino,653,+1,41,,198,414,1,"19,250","1,209","3,460","101,999","33,922",Europe
118,Jordan,607,+11,9,,404,194,5,60,0.9,"140,222","13,760","10,190,185",Asia
119,Equatorial Guinea,594,,7,,22,565,,425,5,854,612,"1,396,494",Africa
120,Channel Islands,554,+5,43,,458,53,,"3,190",248,"5,342","30,761","173,659",Europe
121,Malta,546,+14,6,,450,90,1,"1,237",14,"49,231","111,535","441,397",Europe
122,Jamaica,511,+2,9,,121,381,,173,3,"7,946","2,685","2,959,554",North America
123,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,498,998",Africa
124,Chad,474,+46,50,+2,111,313,,29,3,,,"16,360,644",Africa
125,Sierra Leone,462,+15,29,+2,106,327,,58,4,,,"7,955,312",Africa
126,Venezuela,459,,10,,229,220,1,16,0.4,"540,236","18,992","28,445,691",South America
127,Réunion,443,+2,,,354,89,4,495,,"17,200","19,229","894,505",Africa
